species,Count,Percentage
Lactuca sativa,3941,10.77
Sunflower,3732,10.2
Solanum tuberosum,3012,8.23
Solanum lycopersicum,2163,5.91
Daucus carota,2011,5.49
Raphanus sativus,1677,4.58
Allium porrum,1548,4.23
Hemp,1483,4.05
Brassica oleracea,1451,3.96
Beta vulgaris,1356,3.71
Spinacia oleracea,1265,3.46
Castorbean,1263,3.45
Brassica rapa (subsp. Chinensis or Pekinensis),1194,3.26
Allium cepa,985,2.69
Cucurbita pepo,889,2.43
Capsicum annuum,721,1.97
Phaseolus vulgaris,720,1.97
Solanum melongena,631,1.72
Apium graveolens,417,1.14
Vitis vinifera,395,1.08
Brassica oleracea var. botrytis,308,0.84
Malus domestica,307,0.84
Pisum sativum,269,0.73
Phaesolus vulgaris,261,0.71
Cucumis sativus,261,0.71
Coriandrum sativum,248,0.68
Petroselinum crispum,208,0.57
Bamboo,201,0.55
Prunus domestica,174,0.48
Ipomoea aquatica,165,0.45
Cichorium intybus,161,0.44
Cynara scolymus,160,0.44
Cucurbita sp.,159,0.43
Mentha spicata,151,0.41
Ficus carica,148,0.4
Brassica rapa,147,0.4
Pyrus communis,141,0.39
Allium sativum,134,0.37
Amaranthus sp.,130,0.36
Salvia rosmarinus,117,0.32
Capsicum frutescens,114,0.31
Zea mays,113,0.31
Prunus persica,110,0.3
Ocimum basilicum,92,0.25
Allium ascalonicum,92,0.25
Ipomoea batatas,92,0.25
Vigna unguiculata,84,0.23
Allium fistulosum,77,0.21
Brassica oleracea var. italica,74,0.2
Thymus vulgaris,69,0.19
Cichorium endivia,66,0.18
Cucumis melo,63,0.17
Abelmoschus esculentus,59,0.16
Fragaria,59,0.16
Citrus sinensis,56,0.15
Rubus idaeus,56,0.15
Prunus cerasus,49,0.13
Rubus fruticosus,46,0.13
Brassica oleracea var. capitata f. rubra,45,0.12
Vigna radiata,40,0.11
Cicer arietinum,38,0.1
Vicia faba,34,0.09
Helianthus tuberosus,32,0.09
Glebionis coronaria (ou Chrysanthemum coronarium),31,0.08
Eruca vesicaria subsp. sativa,30,0.08
Morus sp.,27,0.07
Castanea sp.,22,0.06
Allium tuberosum,21,0.06
Amaranthus tricolor,17,0.05
Foeniculum vulgare var. dulce,16,0.04
Diospyros kaki,14,0.04
Origanum vulgare,14,0.04
Ipomoea aquatica Forsk,12,0.03
Vaccinium myrtillus,12,0.03
Brassica oleracea var. sabellica,12,0.03
Allium schoenoprasum,11,0.03
Juglans regia,11,0.03
Nasturtium officinale,10,0.03
Urtica dioica,9,0.02
Anethum graveolens,9,0.02
Cucurbita maxima,9,0.02
Citrullus lanatus,8,0.02
Ribes rubrum,8,0.02
Brassica oleracea var. alboglabra,6,0.02
Rheum rhaponticum,5,0.01
Brassica oleracea var. gongylodes,5,0.01
Brassica pekinensis,5,0.01
Brassica oleracea var. capitata,5,0.01
Brassica chinensis,5,0.01
Brassica oleracea var. gemmifera,1,0.0
